,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,PrgDist Car,Prog
Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,30-089,1990,3.2,45.6,56.3,81.1,728.8,378.4,24.4,28.1,86.7,17.8,21.3,83.8,2.81,4.69,60,0,0.06,-0.06,0.63,3.75,1.88,0.31,135.3,6.56
Issah Abbas,gh GHA,FW,Mainz 05,de Bundesliga,22-061,1998,0,2,2,100,51,11,0,0,,1,1,100,1,1,100,0,0,0,0,0,0,0,29,0
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33-059,1987,10,47.6,53.6,88.8,1093.5,347.1,9.4,10.4,90.4,28.8,30.5,94.4,9,12,75,0,0,0,0,2.5,0,0,132.7,2.8
Mehdi Abeid,dz ALG,MFDF,Nantes,fr Ligue 1,28-112,1992,6.9,40.3,49.1,82,846.7,219,15.2,16.2,93.8,15.7,18.6,84.4,8.55,12.9,66.3,0,0.07,-0.07,1.3,4.64,0.72,0.43,117.1,2.46
Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,27-299,1993,10,41.4,49.5,83.6,791,216.1,17.4,20.5,84.9,17.4,19.3,90.2,6.1,8.5,71.8,0,0.02,-0.02,0.2,3.3,0.3,0.2,99.1,2.8
Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,20-228,2000,2.8,10.7,16.4,65.2,155.7,31.1,5.71,7.86,72.7,3.21,3.93,81.8,0.71,1.43,50,0,0.04,-0.04,0.71,0.36,1.07,0,41.4,1.79
David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34-134,1986,6.7,45.8,56.9,80.6,936.4,335.2,15.5,17.5,88.9,22.7,25.5,88.9,7.31,12.8,57,0,0.07,-0.07,0.3,4.63,0.45,0.3,103.9,4.03
Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,23-055,1997,5.2,13.5,20.4,66,193.5,29.6,7.5,10,75,3.27,6.15,53.1,1.35,1.92,70,0.19,0.17,0.02,1.54,1.54,0,0,29.8,0.77
Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,30-244,1990,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,
Gennaro Acampora,it ITA,MF,Spezia,it Serie A,26-242,1994,1.4,23.6,28.6,82.5,416.4,77.9,10,12.1,82.4,10.7,13.6,78.9,2.86,2.86,100,0,0,0,0,2.14,0,0,130,1.43
Francesco Acerbi,it ITA,DF,Lazio,it Serie A,32-290,1988,8,56.1,66,85,1152.3,315.9,19.1,21.4,89.5,27.6,29.6,93.2,8.38,12.9,65,0.13,0.05,0.07,0.5,4,0.5,0.5,140,3.75
Ragnar Ache,de GER,FW,Eint Frankfurt,de Bundesliga,22-121,1998,0.4,15,30,50,152.5,0,7.5,15,50,5,10,50,0,0,,0,0,0,0,0,0,0,40,0
Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,29-029,1991,5.6,54.1,65.7,82.3,1066.1,440.2,19.5,21.4,90.8,25.9,28.4,91.2,7.68,13.4,57.3,0,0.11,-0.11,1.25,4.29,1.79,0.71,117.3,3.57
Che Adams,eng ENG,FW,Southampton,eng Premier League,24-136,1996,8.5,16.1,22.5,71.7,251.3,59.6,8.59,11.2,76.8,5.29,6.47,81.8,1.41,2,70.6,0.35,0.32,0.04,1.18,0.82,0.94,0,52.6,2.24
Tyler Adams,us USA,MFDF,RB Leipzig,de Bundesliga,21-286,1999,4.1,55.4,62.7,88.3,852.9,245.4,29.5,32,92.4,22.2,24.4,91,3.17,5.37,59.1,0,0.02,-0.02,0.24,4.39,0,0,135.6,5.37
